Feature	Log2FC(median)	Log2FC(mean)	ModeratedT(Stats)	ModeratedT(P-value)	FDR	-Log10(FDR)	Significance	Gene	group1_label	group2_label	n_group1_total	n_group2_total	n_group1_nonmissing	n_group2_nonmissing	group1_mean	group2_mean	group1_median	group2_median	AbsLog2FC(mean)	AbsLog2FC(median)
CCNQ	0.916076624548638	0.7577453960857881					U	CCNQ	GG1	GG2	5	24	1	7	0.746217140894339	-0.011528255191449082	0.746217140894339	-0.169859483654299	0.7577453960857881	0.916076624548638
STC2	0.9152306014645191	0.7483905005740759	2.5633866867729647	0.015438132082846757	0.9314776152262169	0.03082757737594436	U	STC2	GG1	GG2	5	24	5	24	0.3438480093240644	-0.4045424912500115	0.454013078608312	-0.461217522856207	0.7483905005740759	0.9152306014645191
EMP3	0.9125467355310191	0.7662787056965792					U	EMP3	GG1	GG2	5	24	1	9	0.672283083526207	-0.09399562217037219	0.672283083526207	-0.240263652004812	0.7662787056965792	0.9125467355310191
GRN	0.91101471169782	0.6118453591821089	2.5682027542468657	0.015263147137164139	0.9314776152262169	0.03082757737594436	U	GRN	GG1	GG2	5	24	5	24	0.5065473897436742	-0.10529796943843468	0.849654733011088	-0.061359978686732	0.6118453591821089	0.91101471169782
ARHGAP19	0.906633489218401	1.0357678359913844					U	ARHGAP19	GG1	GG2	5	24	1	3	0.791246155559166	-0.24452168043221842	0.791246155559166	-0.115387333659235	1.0357678359913844	0.906633489218401
ABCA5	0.904322730035767	0.8720667651617442					U	ABCA5	GG1	GG2	5	24	2	12	0.606137450805798	-0.26592931435594624	0.606137450805798	-0.298185279229969	0.8720667651617442	0.904322730035767
CCDC181	0.9030605456202763	0.9781718060880935	1.4079277327281652	0.17056274626338505	0.9587604446797906	0.018289891838696243	U	CCDC181	GG1	GG2	5	24	5	20	0.07271503366476732	-0.9054567724233262	-0.0435400529614363	-0.9466005985817125	0.9781718060880935	0.9030605456202763
ADAM8	0.9023082026263956	0.9258477432682358					U	ADAM8	GG1	GG2	5	24	1	4	0.971156843458223	0.04530910018998713	0.971156843458223	0.0688486408318274	0.9258477432682358	0.9023082026263956
HBB	0.8950549781977251	0.7130948090518516	1.8105864252016513	0.07990732483554773	0.9587604446797906	0.018289891838696243	U	HBB	GG1	GG2	5	24	5	24	0.06608857095456985	-0.6470062380972817	0.196286246473071	-0.698768731724654	0.7130948090518516	0.8950549781977251
MAP3K8	0.8911889051127482	0.9137019051195402					U	MAP3K8	GG1	GG2	5	24	1	6	0.923339457671094	0.009637552551553815	0.923339457671094	0.03215055255834585	0.9137019051195402	0.8911889051127482
ABHD17A	0.8889503377174566	0.8943642723209908					U	ABHD17A	GG1	GG2	5	24	2	9	0.6727841993553205	-0.22158007296567028	0.6727841993553205	-0.216166138362136	0.8943642723209908	0.8889503377174566
